DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200508143;04/11/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;04/10/2020 12:00:00 AM;2000
200508041;04/08/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;04/08/2020 12:00:00 AM;345
200506941;03/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;03/08/2020 12:00:00 AM;1800
200512756;08/07/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;08/07/2020 12:00:00 AM;1935
200515535;10/20/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;10/20/2020 12:00:00 AM;1007
200505760;02/11/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;02/11/2020 12:00:00 AM;2100
200514132;09/14/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;09/06/2020 12:00:00 AM;1000
200508408;04/18/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;04/18/2020 12:00:00 AM;1200
200517938;12/18/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;12/18/2020 12:00:00 AM;342
200504057;01/02/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/01/2020 12:00:00 AM;2030
200500566;02/24/2020 12:00:00 AM;Harbor     ;BRANDISH WEAPON                                         ;02/24/2020 12:00:00 AM;330
200511560;07/07/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;07/07/2020 12:00:00 AM;100
200510041;05/28/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;05/28/2020 12:00:00 AM;1530
200507876;04/02/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;04/02/2020 12:00:00 AM;620
200517520;12/06/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;12/06/2020 12:00:00 AM;1510
200511633;07/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;07/08/2020 12:00:00 AM;1700
200507310;03/17/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/17/2020 12:00:00 AM;1930
200505655;02/09/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;02/09/2020 12:00:00 AM;1845
200507899;04/03/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;04/03/2020 12:00:00 AM;1200
200508338;04/16/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;04/16/2020 12:00:00 AM;515
200511333;07/02/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;07/02/2020 12:00:00 AM;700
200516945;11/21/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;11/12/2020 12:00:00 AM;1900
200504333;01/08/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;01/08/2020 12:00:00 AM;805
200500685;06/14/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;06/14/2020 12:00:00 AM;1851
200506572;03/01/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;02/29/2020 12:00:00 AM;2100
200505252;01/30/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/28/2020 12:00:00 AM;1900
200507883;04/02/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;03/26/2020 12:00:00 AM;1755
200514509;09/25/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;09/24/2020 12:00:00 AM;2200
200516239;11/05/2020 12:00:00 AM;Harbor     ;BURGLARY                                                ;10/28/2020 12:00:00 AM;954
200509715;05/20/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;05/12/2020 12:00:00 AM;1305
